Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,E
H1975,2.0,control,20,1,0.0,4,-0.855883001475572
H1975,2.0,control,20,1,0.0,5,0.20646813220956067
H1975,2.0,control,3,1,0.0,1,-0.00938021361638791
H1975,2.0,control,4,1,0.0,1,1.5718070376685143
H1975,2.0,control,4,1,0.0,2,0.6412080386851939
H1975,2.0,control,5,1,0.0,1,1.1412918364141869
H1975,2.0,control,5,1,0.0,2,-0.855883001475572
H1975,2.0,control,5,1,0.0,3,-0.855883001475572
H1975,2.0,control,5,1,0.0,4,1.4474756378241114
H1975,2.0,control,6,1,0.0,1,0.6587936343108267
H1975,2.0,control,6,1,0.0,2,-0.855883001475572
H1975,2.0,control,7,1,0.0,1,1.7645118675562208
H1975,2.0,control,7,1,0.0,2,-0.855883001475572
H1975,2.0,control,8,1,0.0,1,-0.855883001475572
H1975,2.0,control,9,1,0.0,1,0.31101635636071456
